Series_Title,IMDB_Rating,Genre,Runtime,Certificate,Released_Year,Rank,Lifetime Gross,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
Coco,8.4,"Animation, Adventure, Family",105.0,U,2017,104.0,814641172.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Django Unchained,8.4,"Drama, Western",165.0,A,2012,338.0,426076293.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Dark Knight Rises,8.4,"Action, Adventure",164.0,UA,2012,36.0,1114976407.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 Idiots,8.4,"Comedy, Drama",170.0,UA,2009,,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taare Zameen Par,8.4,"Drama, Family",165.0,U,2007,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WALL·E,8.4,"Animation, Adventure, Family",98.0,U,2008,241.0,527403656.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lives of Others,8.4,"Drama, Mystery, Thriller",137.0,A,2006,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Oldeuboi,8.4,"Action, Drama, Mystery",101.0,A,2003,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Memento,8.4,"Mystery, Thriller",113.0,UA,2000,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Mononoke-hime,8.4,"Animation, Action, Adventure",134.0,U,1997,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Once Upon a Time in America,8.4,"Crime, Drama",229.0,A,1984,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raiders of the Lost Ark,8.4,"Action, Adventure",115.0,A,1981,389.0,389925971.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Shining,8.4,"Drama, Horror",146.0,A,1980,,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Apocalypse Now,8.4,"Drama, Mystery, War",147.0,R,1979,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Alien,8.4,"Horror, Sci-Fi",117.0,R,1979,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Anand,8.4,"Drama, Musical",122.0,U,1971,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tengoku to jigoku,8.4,"Crime, Drama, Mystery",143.0,,1963,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,Comedy,95.0,A,1964,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Witness for the Prosecution,8.4,"Crime, Drama, Mystery",116.0,U,1957,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Paths of Glory,8.4,"Drama, War",88.0,A,1957,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Rear Window,8.4,"Mystery, Thriller",112.0,U,1954,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Sunset Blvd.,8.4,"Drama, Film-Noir",110.0,Passed,1950,,,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Great Dictator,8.4,"Comedy, Drama, War",125.0,Passed,1940,,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1917,8.3,"Drama, Thriller, War",119.0,R,2019,314.0,446064352.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Tumbbad,8.3,"Drama, Fantasy, Horror",104.0,A,2018,,,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Andhadhun,8.3,"Crime, Drama, Music",139.0,UA,2018,,,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Drishyam,8.3,"Crime, Drama, Thriller",160.0,U,2013,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Jagten,8.3,Drama,115.0,R,2012,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jodaeiye Nader az Simin,8.3,Drama,123.0,PG-13,2011,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Incendies,8.3,"Drama, Mystery, War",131.0,R,2010,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Miracle in cell NO.7,8.3,Drama,132.0,TV-14,2019,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Babam ve Oglum,8.3,"Drama, Family",112.0,,2005,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Inglourious Basterds,8.3,"Adventure, Drama, War",153.0,A,2009,531.0,321460744.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Eternal Sunshine of the Spotless Mind,8.3,"Drama, Romance, Sci-Fi",108.0,UA,2004,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Amélie,8.3,"Comedy, Romance",122.0,U,2001,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Snatch,8.3,"Comedy, Crime",104.0,UA,2000,,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Requiem for a Dream,8.3,Drama,102.0,A,2000,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Beauty,8.3,Drama,122.0,UA,1999,453.0,356296601.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Good Will Hunting,8.3,"Drama, Romance",126.0,U,1997,810.0,225933435.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bacheha-Ye aseman,8.3,"Drama, Family, Sport",89.0,PG,1997,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Toy Story,8.3,"Animation, Adventure, Comedy",81.0,U,1995,382.0,394436586.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Braveheart,8.3,"Biography, Drama, History",178.0,A,1995,872.0,213216216.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Reservoir Dogs,8.3,"Crime, Drama, Thriller",99.0,R,1992,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Full Metal Jacket,8.3,"Drama, War",116.0,UA,1987,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Idi i smotri,8.3,"Drama, Thriller, War",142.0,A,1985,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Aliens,8.3,"Action, Adventure, Sci-Fi",137.0,U,1986,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Amadeus,8.3,"Biography, Drama, History",160.0,R,1984,,,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
